No.,商品名,卸価格
WO-FF,(加工内容）スリムカット加工のみ・多焦点,5750
WO-F,(加工内容）スリムカット加工のみ・単焦点,4600
WO-EE,(加工内容）ハイカーブ(6～8.)・多焦点,6900
WO-E,(加工内容）ハイカーブ(6～8.)・単焦点,4600
WO-DD,(加工内容）スリーポイント・多焦点,8050
WO-D,(加工内容）スリーポイント・単焦点,5750
WO-CC,(加工内容）ツーポイント・多焦点,8050
WO-C,(加工内容）ツーポイント・単焦点,5750
WO-BB,(加工内容）ナイロール・多焦点,4025
WO-B,(加工内容）ナイロール・単焦点,2875
WO-AA,(加工内容）普通枠・多焦点,2875
WO-A,(加工内容）普通枠・単焦点,1725
VR-A09-N,M700用イヤホンマイク,4800
UTS020P-48,天武チタン ファイテン,9500
UTS020P-46,天武チタン ファイテン,9500
UTS020P-43,天武チタン ファイテン,9500
UTS020-48,天武チタン,9500
UTS020-46,天武チタン,9500
UTS020-43,天武チタン,9500
UTP010P-46,天武チタン一体型 ファイテン,11500
UTP010-46,天武チタン一体型,11500
UT-08,天武 TS020 汗止バー,350
UT-07,天武 TS020 ツインノーズパッド,150
UT-06,天武 TP010 汗止バー,700
UT-05,天武 TP010 ツインノーズパッド,175
UT-04,天武 メガネケース,500
UT-03,天武 ノーマルメガネバンド ファイテン,1400
UT-02,天武 ショートメガネバンド,1400
UT-01,天武 ノーマルメガネバンド,1400
TS-7,ツールスタンド,3100
TS-3,ツールスタンド(回転型),2100
TS-2,ツールスタンド(立型),10800
TS-1,ツールスタンド(回転式),6900
T-50C,バネのみ,440
T-50A-1.2,ネジ切りカッター(面取無)1.2mm,7900
T-50A-1.0,ネジ切りカッター(面取無)1.0mm,7900
T-50A-0.8,ネジ切りカッター(面取無)0.8mm,7900
T-50-1.2,ネジ切りカッター(面取り付)1.2mm,8600
T-50-1.0,ネジ切りカッター(面取り付)1.0mm,8600
T-50-0.8,ネジ切りカッター(面取り付)0.8mm,8600
T-40,レンズリムバー,7900
SWT710,超音波洗浄器(ｸﾘｰﾅｰ付),10235
SWS510,超音波洗浄器(ｸﾘｰﾅｰ付),6670
SR927W,時計電池 #399 デジタル用,850
SR927SW,時計電池 ＃395,750
SR920SW,時計電池 ＃371,750
SR916SW,時計電池 ＃373,750
SR721SW,時計電池 ＃362,850
SR716SW,時計電池 ＃315,750
SR626W,時計電池 #376 デジタル用,1400
SR626SW,時計電池 ＃377,750
SR621SW,時計電池 ＃364,750
SR616SW,時計電池 ＃321,750
SR527SW,時計電池 ＃319,1400
SR521SW,時計電池 ＃379,750
SR516SW,時計電池 ＃317,750
SR421SW,時計電池 ＃348,850
SC1600pola-6,偏光メガネ,8000
SC1600pola-5,レッドグリーンメガネ,8000
SC1600pola-4,スマートリモコン,60000
SC1600pola-3,テーブルスタンド,40000
SC1600pola-2,フロアースタンド,60000
SC1600pola,システムチャート 本体のみ,570000
RE-I,(修理内容)型直し,1150
RE-G,(修理内容)先セル交換,1725
RE-F,(修理内容)ｾﾙﾌﾚｰﾑｸﾘﾝｸﾞｽ付,4600
RE-E,(修理内容)鼻盛,4025
RE-D,(修理内容)ネジ抜き,1725
RE-C,(修理内容)金枠ロー付け,4600
RE-B,(修理内容)チタンロー付け,2300
RE-A,(修理内容)合金ロー付け,2300
R958-701-WN,販売用高級ｼｰﾄﾓﾀﾞﾝ ﾜｲﾝ,449
R958-701-PL,販売用高級ｼｰﾄﾓﾀﾞﾝ ﾌﾟﾗﾑ,449
R958-701-P,販売用高級ｼｰﾄﾓﾀﾞﾝ ﾋﾟﾝｸ,449
R83-92,販売用ハードパットＷ小,138
R83-91,販売用ハードパットＧ小,138
R83-102,販売用シリコンパットＷ小,230
R83-101,販売用シリコンパットＧ小,230
